Data,Descriere,Suma,Sold Curent
2025-02-22,PLATA POS Carrefour BUCURESTI,-72.55,1732.59
2025-02-22,PLATA POS Bolt Food,-11.82,1720.77
2025-02-23,PLATA POS LIDL Brasov,-33.42,1687.35
2025-02-23,PLATA POS Bolt Food,-17.38,1669.97
2025-02-25,PLATA POS Bolt,-7.88,1662.09
2025-02-26,PLATA POS MEGA IMAGE BUCURESTI,-25.68,1636.41
2025-02-27,PLATA POS MEGA IMAGE BUCURESTI,-31.95,1604.46
2025-03-01,PLATA POS LIDL BUCURESTI,-40.59,1563.87
2025-03-02,PLATA POS Metrorex,-6.03,1557.84
2025-03-02,PLATA POS EMAG,-80.71,1477.13
2025-03-03,PLATA POS Uber,-3.77,1473.36
2025-03-04,PLATA POS LIDL Bucuresti,-32.50,1440.86
2025-03-04,PLATA POS STB,-6.50,1434.36
2025-03-05,INCASARE SALARIU PFA/CIM,1517.32,2951.68
2025-03-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2501.68
2025-03-06,PLATA POS MEGA IMAGE BUCURESTI,-48.29,2453.39
2025-03-06,PLATA POS Metrorex,-5.00,2448.39
2025-03-07,PLATA CARD Netflix,-11.17,2437.22
2025-03-07,PLATA POS Uber,-14.87,2422.35
2025-03-08,PLATA POS Glovo,-27.76,2394.59
2025-03-09,PLATA POS Kaufland Brasov,-25.06,2369.53
2025-03-09,PLATA POS Tazz,-12.20,2357.33
2025-03-10,FACTURA RCS & RDS,-24.40,2332.93
2025-03-10,FACTURA E.ON ENERGIE,-52.77,2280.16
2025-03-10,FACTURA INTRETINERE BLOC,-59.20,2220.96
2025-03-11,PLATA POS Kaufland BUCURESTI,-64.23,2156.73
2025-03-11,PLATA POS STB,-7.75,2148.98
2025-03-12,PLATA POS Carrefour BUCURESTI,-25.74,2123.24
2025-03-13,PLATA POS LIDL Iasi,-77.91,2045.33
2025-03-14,PLATA POS Carrefour BUCURESTI,-53.56,1991.77
2025-03-15,PLATA POS Auchan BUCURESTI,-41.57,1950.20
2025-03-17,PLATA POS MEGA IMAGE Sibiu,-36.44,1913.76
2025-03-18,PLATA POS MEGA IMAGE BUCURESTI,-26.97,1886.79
2025-03-19,PLATA POS OMV PETROM,-8.83,1877.96
2025-03-21,PLATA POS Carrefour BUCURESTI,-87.44,1790.52
2025-03-24,PLATA POS Decathlon,-77.74,1712.78
2025-03-25,PLATA POS MEGA IMAGE BUCURESTI,-44.30,1668.48
2025-03-26,PLATA POS Decathlon,-19.74,1648.74
2025-03-29,PLATA POS MEGA IMAGE BUCURESTI,-43.02,1605.72
2025-03-30,PLATA POS EMAG,-17.37,1588.35
2025-04-01,PLATA POS Carrefour Iasi,-51.88,1536.47
2025-04-02,PLATA POS LIDL BUCURESTI,-69.54,1466.93
2025-04-02,PLATA POS Bolt Food,-27.35,1439.58
2025-04-03,PLATA POS Glovo,-18.74,1420.84
2025-04-04,PLATA POS Metrorex,-4.32,1416.52
2025-04-05,INCASARE SALARIU PFA/CIM,1542.80,2959.32
2025-04-05,PLATA POS Auchan Bucuresti,-55.31,2904.01
2025-04-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2454.01
2025-04-06,PLATA POS MEGA IMAGE BUCURESTI,-47.52,2406.49
2025-04-06,PLATA POS Metrorex,-10.19,2396.30
2025-04-07,PLATA CARD Netflix,-9.27,2387.03
2025-04-07,PLATA POS Auchan BUCURESTI,-48.52,2338.51
2025-04-08,PLATA POS Kaufland BUCURESTI,-32.19,2306.32
2025-04-09,PLATA POS Metrorex,-3.74,2302.58
2025-04-10,FACTURA RCS & RDS,-16.74,2285.84
2025-04-10,FACTURA E.ON ENERGIE,-68.82,2217.02
2025-04-10,FACTURA INTRETINERE BLOC,-83.54,2133.48
2025-04-10,PLATA POS Glovo,-14.36,2119.12
2025-04-11,PLATA POS Carrefour BUCURESTI,-62.04,2057.08
2025-04-11,PLATA POS OMV PETROM,-6.06,2051.02
2025-04-12,PLATA POS Auchan Constanta,-59.57,1991.45
2025-04-12,PLATA POS Glovo,-27.84,1963.61
2025-04-13,PLATA POS Glovo,-21.20,1942.41
2025-04-17,PLATA POS LIDL BUCURESTI,-48.35,1894.06
2025-04-18,PLATA POS Metrorex,-3.72,1890.34
2025-04-20,PLATA POS LIDL BUCURESTI,-63.64,1826.70
2025-04-20,PLATA POS Metrorex,-14.52,1812.18
2025-04-20,PLATA POS Bolt Food,-10.49,1801.69
2025-04-22,PLATA POS LIDL BUCURESTI,-34.26,1767.43
2025-04-22,PLATA POS Bolt Food,-26.51,1740.92
2025-04-23,PLATA POS Glovo,-15.77,1725.15
2025-04-24,PLATA POS MEGA IMAGE Timisoara,-28.39,1696.76
2025-04-25,PLATA POS Uber,-7.70,1689.06
2025-04-26,PLATA POS Glovo,-10.03,1679.03
2025-04-27,PLATA POS LIDL BUCURESTI,-72.22,1606.81
2025-04-27,PLATA POS Tazz,-10.01,1596.80
2025-04-30,PLATA POS Tazz,-11.21,1585.59
2025-04-30,PLATA POS Farmacia Tei,-28.40,1557.19
2025-05-01,PLATA POS OMV PETROM,-11.00,1546.19
2025-05-03,PLATA POS Carrefour Bucuresti,-38.09,1508.10
2025-05-04,PLATA POS Bolt,-12.53,1495.57
2025-05-04,PLATA POS Glovo,-14.53,1481.04
2025-05-05,INCASARE SALARIU PFA/CIM,1517.04,2998.08
2025-05-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2548.08
2025-05-06,PLATA POS Auchan BUCURESTI,-20.65,2527.43
2025-05-07,PLATA CARD YouTube Premium,-6.00,2521.43
2025-05-07,PLATA POS Auchan BUCURESTI,-28.80,2492.63
2025-05-08,PLATA POS Uber,-6.60,2486.03
2025-05-10,FACTURA RCS & RDS,-22.91,2463.12
2025-05-10,FACTURA E.ON ENERGIE,-37.18,2425.94
2025-05-10,PLATA POS Tazz,-15.74,2410.20
2025-05-11,PLATA POS Auchan BUCURESTI,-21.84,2388.36
2025-05-11,PLATA POS Tazz,-12.99,2375.37
2025-05-13,PLATA POS Auchan BUCURESTI,-63.71,2311.66
2025-05-13,PLATA POS Tazz,-15.57,2296.09
2025-05-15,PLATA POS MEGA IMAGE Bucuresti,-52.42,2243.67
2025-05-15,PLATA POS Uber,-4.72,2238.95
2025-05-17,PLATA POS Glovo,-10.08,2228.87
2025-05-18,PLATA POS EMAG,-84.78,2144.09
2025-05-19,PLATA POS LIDL BUCURESTI,-66.70,2077.39
2025-05-20,PLATA POS Auchan BUCURESTI,-53.11,2024.28
2025-05-22,PLATA POS Metrorex,-12.38,2011.90
2025-05-23,PLATA POS Bolt,-7.36,2004.54
2025-05-24,PLATA POS LIDL BUCURESTI,-51.22,1953.32
2025-05-24,PLATA POS Uber,-7.08,1946.24
2025-05-26,PLATA POS Auchan BUCURESTI,-64.80,1881.44
2025-05-28,PLATA POS MEGA IMAGE BUCURESTI,-23.93,1857.51
2025-05-29,PLATA POS Bolt,-10.07,1847.44
2025-05-31,PLATA POS Carrefour Bucuresti,-32.28,1815.16
2025-05-31,PLATA POS Bolt Food,-11.13,1804.03
2025-06-01,PLATA POS Kaufland BUCURESTI,-41.81,1762.22
2025-06-01,PLATA POS Glovo,-18.41,1743.81
2025-06-01,PLATA POS Decathlon,-17.01,1726.80
2025-06-02,PLATA POS Bolt,-13.76,1713.04
2025-06-03,PLATA POS Auchan BUCURESTI,-73.22,1639.82
2025-06-03,PLATA POS Bolt,-11.16,1628.66
2025-06-05,INCASARE SALARIU PFA/CIM,1541.22,3169.88
2025-06-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2719.88
2025-06-06,PLATA POS Carrefour BUCURESTI,-61.69,2658.19
2025-06-07,PLATA CARD Netflix,-9.03,2649.16
2025-06-07,PLATA POS Carrefour BUCURESTI,-44.85,2604.31
2025-06-07,PLATA POS OMV PETROM,-8.08,2596.23
2025-06-07,PLATA POS Bolt Food,-25.57,2570.66
2025-06-08,PLATA POS MEGA IMAGE Cluj-Napoca,-79.05,2491.61
2025-06-08,PLATA POS Tazz,-29.20,2462.41
2025-06-10,FACTURA RCS & RDS,-20.12,2442.29
2025-06-10,FACTURA E.ON ENERGIE,-49.34,2392.95
2025-06-10,FACTURA INTRETINERE BLOC,-77.28,2315.67
2025-06-10,PLATA POS STB,-4.24,2311.43
2025-06-10,PLATA POS Bolt Food,-19.20,2292.23
2025-06-11,PLATA POS MEGA IMAGE BUCURESTI,-25.14,2267.09
2025-06-12,PLATA POS STB,-8.10,2258.99
2025-06-13,PLATA POS Carrefour BUCURESTI,-28.77,2230.22
2025-06-13,PLATA POS OMV PETROM,-8.20,2222.02
2025-06-15,PLATA POS LIDL BUCURESTI,-55.48,2166.54
2025-06-15,PLATA POS Bolt Food,-10.18,2156.36
2025-06-16,PLATA POS OMV PETROM,-4.80,2151.56
2025-06-17,PLATA POS Carrefour BUCURESTI,-82.46,2069.10
2025-06-17,PLATA POS STB,-13.69,2055.41
2025-06-17,PLATA POS Tazz,-27.24,2028.17
2025-06-17,PLATA POS EMAG,-20.57,2007.60
2025-06-18,PLATA POS Bolt Food,-26.12,1981.48
2025-06-19,PLATA POS STB,-8.45,1973.03
2025-06-20,PLATA POS Bolt Food,-24.53,1948.50
2025-06-21,PLATA POS Kaufland BUCURESTI,-49.23,1899.27
2025-06-22,PLATA POS Uber,-4.78,1894.49
2025-06-23,PLATA POS Auchan BUCURESTI,-29.74,1864.75
2025-06-24,PLATA POS Bolt Food,-18.84,1845.91
2025-06-27,PLATA POS Auchan BUCURESTI,-62.04,1783.87
2025-06-27,PLATA POS Uber,-5.39,1778.48
2025-06-28,PLATA POS Auchan Timisoara,-60.22,1718.26
2025-06-30,PLATA POS Carrefour BUCURESTI,-81.56,1636.70
2025-07-01,PLATA POS STB,-14.22,1622.48
2025-07-01,PLATA POS Tazz,-23.12,1599.36
2025-07-05,INCASARE SALARIU PFA/CIM,1528.63,3127.99
2025-07-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2677.99
2025-07-06,PLATA POS OMV PETROM,-10.44,2667.55
2025-07-06,PLATA POS Tazz,-26.44,2641.11
2025-07-06,PLATA POS Decathlon,-65.55,2575.56
2025-07-07,PLATA CARD YouTube Premium,-6.00,2569.56
2025-07-07,PLATA POS Farmacia Tei,-85.31,2484.25
2025-07-08,PLATA POS Kaufland BUCURESTI,-25.99,2458.26
2025-07-09,PLATA POS LIDL BUCURESTI,-43.43,2414.83
2025-07-09,PLATA POS Metrorex,-12.20,2402.63
2025-07-10,FACTURA RCS & RDS,-20.07,2382.56
2025-07-10,FACTURA E.ON ENERGIE,-75.26,2307.30
2025-07-10,FACTURA INTRETINERE BLOC,-91.45,2215.85
2025-07-11,PLATA POS Auchan BUCURESTI,-36.03,2179.82
2025-07-14,PLATA POS OMV PETROM,-7.48,2172.34
2025-07-15,PLATA POS LIDL BUCURESTI,-80.28,2092.06
2025-07-15,PLATA POS Bolt Food,-12.25,2079.81
2025-07-18,PLATA POS STB,-9.69,2070.12
2025-07-20,PLATA POS LIDL BUCURESTI,-87.90,1982.22
2025-07-22,PLATA POS Carrefour BUCURESTI,-42.11,1940.11
2025-07-24,PLATA POS MEGA IMAGE BUCURESTI,-44.46,1895.65
2025-07-26,PLATA POS MEGA IMAGE BUCURESTI,-35.86,1859.79
2025-07-26,PLATA POS Uber,-11.11,1848.68
2025-07-27,PLATA POS LIDL BUCURESTI,-64.58,1784.10
2025-07-28,PLATA POS Carrefour BUCURESTI,-58.87,1725.23
2025-07-30,PLATA POS Carrefour BUCURESTI,-76.17,1649.06
2025-08-01,PLATA POS Kaufland Timisoara,-47.14,1601.92
2025-08-01,PLATA POS Tazz,-12.88,1589.04
2025-08-02,PLATA POS OMV PETROM,-14.30,1574.74
2025-08-02,PLATA POS Bolt Food,-15.66,1559.08
2025-08-02,PLATA POS Dedeman,-38.35,1520.73
2025-08-03,PLATA POS Glovo,-29.83,1490.90
2025-08-04,PLATA POS STB,-13.04,1477.86
2025-08-05,INCASARE SALARIU PFA/CIM,1530.97,3008.83
2025-08-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2558.83
2025-08-06,PLATA POS LIDL BUCURESTI,-40.62,2518.21
2025-08-07,PLATA CARD YouTube Premium,-6.00,2512.21
2025-08-07,PLATA POS Kaufland BUCURESTI,-66.25,2445.96
2025-08-07,PLATA POS OMV PETROM,-4.79,2441.17
2025-08-07,PLATA POS Glovo,-29.14,2412.03
2025-08-08,PLATA POS Kaufland BUCURESTI,-48.69,2363.34
2025-08-10,FACTURA RCS & RDS,-21.53,2341.81
2025-08-10,FACTURA E.ON ENERGIE,-69.34,2272.47
2025-08-10,FACTURA INTRETINERE BLOC,-94.64,2177.83
2025-08-10,PLATA POS Glovo,-14.67,2163.16
2025-08-11,PLATA POS MEGA IMAGE BUCURESTI,-61.72,2101.44
2025-08-13,PLATA POS OMV PETROM,-6.66,2094.78
2025-08-13,PLATA POS Glovo,-12.68,2082.10
2025-08-16,PLATA POS Tazz,-14.72,2067.38
2025-08-17,PLATA POS Kaufland BUCURESTI,-41.72,2025.66
2025-08-18,PLATA POS LIDL BUCURESTI,-34.95,1990.71
2025-08-20,PLATA POS Carrefour BUCURESTI,-71.81,1918.90
2025-08-20,PLATA POS Uber,-4.21,1914.69
2025-08-22,PLATA POS Tazz,-15.50,1899.19
2025-08-23,PLATA POS Bolt,-7.40,1891.79
2025-08-23,PLATA POS Bolt Food,-29.91,1861.88
2025-08-25,PLATA POS Carrefour BUCURESTI,-28.62,1833.26
2025-08-25,PLATA POS OMV PETROM,-8.52,1824.74
2025-08-26,PLATA POS LIDL BUCURESTI,-38.23,1786.51
2025-08-27,PLATA POS Bolt,-13.16,1773.35
2025-08-28,PLATA POS Carrefour Iasi,-66.01,1707.34
2025-08-28,PLATA POS Uber,-9.78,1697.56
2025-08-29,PLATA POS Bolt,-11.69,1685.87
2025-08-30,PLATA POS Bolt Food,-29.17,1656.70
2025-08-31,PLATA POS Bolt Food,-23.88,1632.82
2025-09-01,PLATA POS Uber,-7.47,1625.35
2025-09-02,PLATA POS Metrorex,-13.69,1611.66
2025-09-05,INCASARE SALARIU PFA/CIM,1506.38,3118.04
2025-09-05,PLATA POS LIDL BUCURESTI,-31.57,3086.47
2025-09-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2636.47
2025-09-06,PLATA POS Auchan BUCURESTI,-66.51,2569.96
2025-09-06,PLATA POS Tazz,-27.06,2542.90
2025-09-07,PLATA CARD Netflix,-11.79,2531.11
2025-09-07,PLATA POS LIDL BUCURESTI,-53.87,2477.24
2025-09-07,PLATA POS STB,-13.08,2464.16
2025-09-08,PLATA POS Auchan Timisoara,-62.77,2401.39
2025-09-08,PLATA POS OMV PETROM,-3.88,2397.51
2025-09-09,PLATA POS Carrefour BUCURESTI,-38.48,2359.03
2025-09-09,PLATA POS Metrorex,-12.41,2346.62
2025-09-10,FACTURA RCS & RDS,-19.15,2327.47
2025-09-10,FACTURA E.ON ENERGIE,-31.87,2295.60
2025-09-10,FACTURA INTRETINERE BLOC,-54.42,2241.18
2025-09-10,PLATA POS OMV PETROM,-4.36,2236.82
2025-09-11,PLATA POS Bolt,-5.93,2230.89
2025-09-12,PLATA POS Uber,-8.46,2222.43
2025-09-13,PLATA POS OMV PETROM,-4.78,2217.65
2025-09-14,PLATA POS OMV PETROM,-8.77,2208.88
2025-09-15,PLATA POS Auchan BUCURESTI,-78.57,2130.31
2025-09-16,PLATA POS LIDL Sibiu,-43.22,2087.09
2025-09-17,PLATA POS STB,-14.99,2072.10
2025-09-19,PLATA POS Bolt,-13.06,2059.04
2025-09-20,PLATA POS LIDL BUCURESTI,-36.01,2023.03
2025-09-21,PLATA POS Glovo,-25.70,1997.33
2025-09-22,PLATA POS STB,-4.63,1992.70
2025-09-24,PLATA POS Kaufland BUCURESTI,-78.94,1913.76
2025-09-26,PLATA POS OMV PETROM,-13.47,1900.29
2025-09-28,PLATA POS Carrefour BUCURESTI,-55.63,1844.66
2025-09-28,PLATA POS Tazz,-22.07,1822.59
2025-09-30,PLATA POS Uber,-8.73,1813.86
2025-10-02,PLATA POS Kaufland BUCURESTI,-31.20,1782.66
2025-10-05,INCASARE SALARIU PFA/CIM,1548.49,3331.15
2025-10-05,PLATA POS MEGA IMAGE BUCURESTI,-88.72,3242.43
2025-10-05,PLATA POS Bolt Food,-23.11,3219.32
2025-10-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2769.32
2025-10-06,PLATA POS Bolt,-5.73,2763.59
2025-10-07,PLATA CARD YouTube Premium,-6.00,2757.59
2025-10-07,PLATA POS Bolt,-10.12,2747.47
2025-10-08,PLATA POS Metrorex,-6.16,2741.31
2025-10-10,FACTURA RCS & RDS,-22.82,2718.49
2025-10-10,FACTURA E.ON ENERGIE,-37.84,2680.65
2025-10-11,PLATA POS Tazz,-28.17,2652.48
2025-10-11,PLATA POS H&M,-61.77,2590.71
2025-10-12,PLATA POS Auchan Timisoara,-68.47,2522.24
2025-10-13,PLATA POS MEGA IMAGE BUCURESTI,-74.19,2448.05
2025-10-13,PLATA POS Bolt Food,-10.99,2437.06
2025-10-14,PLATA POS Kaufland BUCURESTI,-88.80,2348.26
2025-10-15,PLATA POS Carrefour Cluj-Napoca,-58.43,2289.83
2025-10-15,PLATA POS Uber,-10.40,2279.43
2025-10-16,PLATA POS LIDL Bucuresti,-24.83,2254.60
2025-10-17,PLATA POS MEGA IMAGE Sibiu,-85.71,2168.89
2025-10-20,PLATA POS LIDL BUCURESTI,-73.54,2095.35
2025-10-20,PLATA POS OMV PETROM,-4.80,2090.55
2025-10-22,PLATA POS Carrefour Brasov,-69.45,2021.10
2025-10-23,PLATA POS Uber,-5.96,2015.14
2025-10-27,PLATA POS Uber,-8.95,2006.19
2025-10-28,PLATA POS LIDL BUCURESTI,-45.25,1960.94
2025-10-29,PLATA POS Auchan Bucuresti,-30.18,1930.76
2025-11-01,PLATA POS MEGA IMAGE BUCURESTI,-88.28,1842.48
2025-11-04,PLATA POS Metrorex,-6.06,1836.42
2025-11-04,PLATA POS Dedeman,-20.32,1816.10
2025-11-05,INCASARE SALARIU PFA/CIM,1532.27,3348.37
2025-11-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2898.37
2025-11-06,PLATA POS Uber,-10.61,2887.76
2025-11-06,PLATA POS Bolt Food,-19.63,2868.13
2025-11-07,PLATA CARD YouTube Premium,-6.00,2862.13
2025-11-08,PLATA POS LIDL BUCURESTI,-26.39,2835.74
2025-11-08,PLATA POS Glovo,-17.63,2818.11
2025-11-09,PLATA POS LIDL BUCURESTI,-68.07,2750.04
2025-11-09,PLATA POS Glovo,-12.83,2737.21
2025-11-09,PLATA POS H&M,-17.85,2719.36
2025-11-10,FACTURA RCS & RDS,-21.93,2697.43
2025-11-10,FACTURA E.ON ENERGIE,-53.76,2643.67
2025-11-10,FACTURA INTRETINERE BLOC,-95.54,2548.13
2025-11-11,PLATA POS Metrorex,-5.04,2543.09
2025-11-11,PLATA POS Bolt Food,-28.70,2514.39
2025-11-14,PLATA POS Metrorex,-8.81,2505.58
2025-11-16,PLATA POS MEGA IMAGE BUCURESTI,-50.93,2454.65
2025-11-16,PLATA POS Bolt Food,-17.13,2437.52
2025-11-18,PLATA POS STB,-10.65,2426.87
2025-11-19,PLATA POS Kaufland BUCURESTI,-41.73,2385.14
2025-11-22,PLATA POS STB,-9.21,2375.93
2025-11-22,PLATA POS Glovo,-11.19,2364.74
2025-11-24,PLATA POS Uber,-11.55,2353.19
2025-11-25,PLATA POS Kaufland BUCURESTI,-57.04,2296.15
2025-11-27,PLATA POS Auchan BUCURESTI,-48.93,2247.22
2025-11-29,PLATA POS Carrefour BUCURESTI,-51.82,2195.40
2025-12-04,PLATA POS LIDL BUCURESTI,-36.42,2158.98
2025-12-05,INCASARE SALARIU PFA/CIM,1546.77,3705.75
2025-12-05,PLATA POS STB,-14.15,3691.60
2025-12-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,3241.60
2025-12-06,PLATA POS Bolt Food,-11.99,3229.61
2025-12-07,PLATA CARD Netflix,-10.29,3219.32
2025-12-08,PLATA POS H&M,-35.13,3184.19
2025-12-09,PLATA POS Carrefour BUCURESTI,-57.67,3126.52
2025-12-10,FACTURA RCS & RDS,-22.95,3103.57
2025-12-10,FACTURA E.ON ENERGIE,-50.20,3053.37
2025-12-10,FACTURA INTRETINERE BLOC,-76.31,2977.06
2025-12-10,PLATA POS LIDL BUCURESTI,-39.72,2937.34
2025-12-10,PLATA POS Bolt,-12.21,2925.13
2025-12-12,PLATA POS MEGA IMAGE Brasov,-39.44,2885.69
2025-12-13,PLATA POS Bolt Food,-26.95,2858.74
2025-12-17,PLATA POS Decathlon,-71.28,2787.46
2025-12-19,PLATA POS MEGA IMAGE BUCURESTI,-71.85,2715.61
2025-12-19,PLATA POS Metrorex,-11.64,2703.97
2025-12-20,PLATA POS Bolt,-13.01,2690.96
2025-12-20,PLATA POS Bolt Food,-10.42,2680.54
2025-12-21,PLATA POS Glovo,-17.03,2663.51
2025-12-23,PLATA POS Bolt,-12.89,2650.62
2025-12-26,PLATA POS OMV PETROM,-10.71,2639.91
2025-12-26,PLATA POS Tazz,-22.37,2617.54
2025-12-28,PLATA POS Glovo,-19.83,2597.71
2025-12-30,PLATA POS LIDL BUCURESTI,-75.85,2521.86
2025-12-31,PLATA POS OMV PETROM,-3.51,2518.35
2026-01-03,PLATA POS Bolt,-12.98,2505.37
2026-01-03,PLATA POS EMAG,-35.01,2470.36
2026-01-04,PLATA POS Carrefour BUCURESTI,-42.04,2428.32
2026-01-04,PLATA POS Metrorex,-14.56,2413.76
2026-01-05,INCASARE SALARIU PFA/CIM,1528.78,3942.54
2026-01-05,PLATA POS Kaufland Bucuresti,-59.65,3882.89
2026-01-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,3432.89
2026-01-07,PLATA CARD YouTube Premium,-6.00,3426.89
2026-01-07,PLATA POS MEGA IMAGE Brasov,-61.46,3365.43
2026-01-08,PLATA POS Bolt,-12.25,3353.18
2026-01-09,PLATA POS Bolt Food,-29.35,3323.83
2026-01-10,FACTURA RCS & RDS,-23.94,3299.89
2026-01-10,FACTURA E.ON ENERGIE,-52.12,3247.77
2026-01-10,FACTURA INTRETINERE BLOC,-59.67,3188.10
2026-01-10,PLATA POS Glovo,-19.67,3168.43
